id_representation;id_spectacle;nom_spectacle;jour_representation;heure_representation;horraire_representation;id_cat_representation;date_representation;id_salle;nom_salle
R214;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;samedi;19h00;samedi 19h00;CH001;2025-12-06;STVC;Théâtre du Vieux-Colombier
R215;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;dimanche;15h00;dimanche 15h00;CH001;2025-12-07;STVC;Théâtre du Vieux-Colombier
R216;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;mardi;19h00;mardi 19h00;CH001;2025-12-09;STVC;Théâtre du Vieux-Colombier
R217;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;mercredi;19h00;mercredi 19h00;CH001;2025-12-10;STVC;Théâtre du Vieux-Colombier
R218;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;jeudi;19h00;jeudi 19h00;CH001;2025-12-11;STVC;Théâtre du Vieux-Colombier
R219;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;vendredi;19h00;vendredi 19h00;CH001;2025-12-12;STVC;Théâtre du Vieux-Colombier
R220;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;samedi;19h00;samedi 19h00;CH001;2025-12-13;STVC;Théâtre du Vieux-Colombier
R221;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;dimanche;15h00;dimanche 15h00;CH001;2025-12-14;STVC;Théâtre du Vieux-Colombier
R222;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;mardi;19h00;mardi 19h00;CH001;2025-12-16;STVC;Théâtre du Vieux-Colombier
R223;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;mercredi;19h00;mercredi 19h00;CH001;2025-12-17;STVC;Théâtre du Vieux-Colombier
R224;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;jeudi;19h00;jeudi 19h00;CH001;2025-12-18;STVC;Théâtre du Vieux-Colombier
R225;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;vendredi;19h00;vendredi 19h00;CH001;2025-12-19;STVC;Théâtre du Vieux-Colombier
R226;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;samedi;15h00;samedi 15h00;CH001;2025-12-20;STVC;Théâtre du Vieux-Colombier
R227;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;dimanche;15h00;dimanche 15h00;CH001;2025-12-21;STVC;Théâtre du Vieux-Colombier
R228;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;mardi;19h00;mardi 19h00;CH001;2025-12-23;STVC;Théâtre du Vieux-Colombier
R229;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;mercredi;15h00;mercredi 15h00;CH001;2025-12-24;STVC;Théâtre du Vieux-Colombier
R230;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;jeudi;19h00;jeudi 19h00;CH001;2025-12-25;STVC;Théâtre du Vieux-Colombier
R231;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;vendredi;19h00;vendredi 19h00;CH001;2025-12-26;STVC;Théâtre du Vieux-Colombier
R232;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;samedi;15h00;samedi 15h00;CH001;2025-12-27;STVC;Théâtre du Vieux-Colombier
R233;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;dimanche;15h00;dimanche 15h00;CH001;2025-12-28;STVC;Théâtre du Vieux-Colombier
R234;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;mardi;19h00;mardi 19h00;CH001;2025-12-30;STVC;Théâtre du Vieux-Colombier
R235;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;mercredi;15h00;mercredi 15h00;CH001;2025-12-31;STVC;Théâtre du Vieux-Colombier
R236;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;Jeudi;19h00;Jeudi 19h00;CH001;2026-01-01;STVC;Théâtre du Vieux-Colombier
R237;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;vendredi;19h00;vendredi 19h00;CH001;2026-01-02;STVC;Théâtre du Vieux-Colombier
R238;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;samedi;15h00;samedi 15h00;CH001;2026-01-03;STVC;Théâtre du Vieux-Colombier
R239;S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT;dimanche;15h00;dimanche 15h00;CH001;2026-01-04;STVC;Théâtre du Vieux-Colombier
R240;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;mardi;19h00;mardi 19h00;CH001;2026-01-20;STVC;Théâtre du Vieux-Colombier
R241;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;mercredi;20h30;mercredi 20h30;CH002;2026-01-21;STVC;Théâtre du Vieux-Colombier
R242;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;jeudi;20h30;jeudi 20h30;CH002;2026-01-22;STVC;Théâtre du Vieux-Colombier
R243;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;vendredi;20h30;vendredi 20h30;CH003;2026-01-23;STVC;Théâtre du Vieux-Colombier
R244;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;samedi;20h30;samedi 20h30;CH003;2026-01-24;STVC;Théâtre du Vieux-Colombier
R245;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;dimanche;15h00;dimanche 15h00;CH001;2026-01-25;STVC;Théâtre du Vieux-Colombier
R246;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;mardi;19h00;mardi 19h00;CH001;2026-01-27;STVC;Théâtre du Vieux-Colombier
R247;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;mercredi;20h30;mercredi 20h30;CH002;2026-01-28;STVC;Théâtre du Vieux-Colombier
R248;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;jeudi;20h30;jeudi 20h30;CH002;2026-01-29;STVC;Théâtre du Vieux-Colombier
R249;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;vendredi;20h30;vendredi 20h30;CH003;2026-01-30;STVC;Théâtre du Vieux-Colombier
R250;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;samedi;20h30;samedi 20h30;CH003;2026-01-31;STVC;Théâtre du Vieux-Colombier
R251;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;dimanche;15h00;dimanche 15h00;CH001;2026-02-01;STVC;Théâtre du Vieux-Colombier
R252;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;mardi;19h00;mardi 19h00;CH001;2026-02-03;STVC;Théâtre du Vieux-Colombier
R253;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;mercredi;20h30;mercredi 20h30;CH002;2026-02-04;STVC;Théâtre du Vieux-Colombier
R254;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;jeudi;20h30;jeudi 20h30;CH002;2026-02-05;STVC;Théâtre du Vieux-Colombier
R255;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;vendredi;20h30;vendredi 20h30;CH003;2026-02-06;STVC;Théâtre du Vieux-Colombier
R256;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;samedi;20h30;samedi 20h30;CH003;2026-02-07;STVC;Théâtre du Vieux-Colombier
R257;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;dimanche;15h00;dimanche 15h00;CH001;2026-02-07;STVC;Théâtre du Vieux-Colombier
R258;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;mardi;19h00;mardi 19h00;CH001;2026-02-08;STVC;Théâtre du Vieux-Colombier
R259;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;mercredi;20h30;mercredi 20h30;CH002;2026-02-11;STVC;Théâtre du Vieux-Colombier
R260;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;jeudi;20h30;jeudi 20h30;CH002;2026-02-11;STVC;Théâtre du Vieux-Colombier
R261;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;vendredi;20h30;vendredi 20h30;CH003;2026-02-12;STVC;Théâtre du Vieux-Colombier
R262;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;samedi;20h30;samedi 20h30;CH003;2026-02-13;STVC;Théâtre du Vieux-Colombier
R263;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;dimanche;15h00;dimanche 15h00;CH001;2026-02-14;STVC;Théâtre du Vieux-Colombier
R264;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;mardi;19h00;mardi 19h00;CH001;2026-02-14;STVC;Théâtre du Vieux-Colombier
R265;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;mercredi;20h30;mercredi 20h30;CH002;2026-02-15;STVC;Théâtre du Vieux-Colombier
R266;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;jeudi;20h30;jeudi 20h30;CH002;2026-02-18;STVC;Théâtre du Vieux-Colombier
R267;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;vendredi;20h30;vendredi 20h30;CH003;2026-02-19;STVC;Théâtre du Vieux-Colombier
R268;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;samedi;20h30;samedi 20h30;CH003;2026-02-20;STVC;Théâtre du Vieux-Colombier
R269;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;dimanche;15h00;dimanche 15h00;CH001;2026-02-20;STVC;Théâtre du Vieux-Colombier
R270;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;mardi;19h00;mardi 19h00;CH001;2026-02-21;STVC;Théâtre du Vieux-Colombier
R271;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;mercredi;20h30;mercredi 20h30;CH002;2026-02-22;STVC;Théâtre du Vieux-Colombier
R272;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;jeudi;20h30;jeudi 20h30;CH002;2026-02-25;STVC;Théâtre du Vieux-Colombier
R273;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;vendredi;20h30;vendredi 20h30;CH003;2026-02-26;STVC;Théâtre du Vieux-Colombier
R274;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;samedi;20h30;samedi 20h30;CH003;2026-02-27;STVC;Théâtre du Vieux-Colombier
R275;S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR;dimanche;15h00;dimanche 15h00;CH001;2026-02-27;STVC;Théâtre du Vieux-Colombier
R276;S008;L’ORDRE DU JOUR;mercredi;20h30;mercredi 20h30;CH002;2026-03-14;STVC;Théâtre du Vieux-Colombier
R277;S008;L’ORDRE DU JOUR;jeudi;20h30;jeudi 20h30;CH002;2026-03-21;STVC;Théâtre du Vieux-Colombier
R278;S008;L’ORDRE DU JOUR;vendredi;20h30;vendredi 20h30;CH003;2026-03-25;STVC;Théâtre du Vieux-Colombier
R279;S008;L’ORDRE DU JOUR;samedi;20h30;samedi 20h30;CH003;2026-03-26;STVC;Théâtre du Vieux-Colombier
R280;S008;L’ORDRE DU JOUR;dimanche;15h00;dimanche 15h00;CH001;2026-03-27;STVC;Théâtre du Vieux-Colombier
R281;S008;L’ORDRE DU JOUR;mardi;19h00;mardi 19h00;CH001;2026-03-28;STVC;Théâtre du Vieux-Colombier
R282;S008;L’ORDRE DU JOUR;mercredi;20h30;mercredi 20h30;CH002;2026-03-29;STVC;Théâtre du Vieux-Colombier
R283;S008;L’ORDRE DU JOUR;jeudi;20h30;jeudi 20h30;CH002;2026-03-30;STVC;Théâtre du Vieux-Colombier
R284;S008;L’ORDRE DU JOUR;vendredi;20h30;vendredi 20h30;CH003;2026-03-31;STVC;Théâtre du Vieux-Colombier
R285;S008;L’ORDRE DU JOUR;mardi;19h00;mardi 19h00;CH001;2026-04-01;STVC;Théâtre du Vieux-Colombier
R286;S008;L’ORDRE DU JOUR;mercredi;20h30;mercredi 20h30;CH002;2026-04-04;STVC;Théâtre du Vieux-Colombier
R287;S008;L’ORDRE DU JOUR;jeudi;20h30;jeudi 20h30;CH002;2026-04-08;STVC;Théâtre du Vieux-Colombier
R288;S008;L’ORDRE DU JOUR;vendredi;20h30;vendredi 20h30;CH003;2026-04-09;STVC;Théâtre du Vieux-Colombier
R289;S008;L’ORDRE DU JOUR;samedi;20h30;samedi 20h30;CH003;2026-04-10;STVC;Théâtre du Vieux-Colombier
R290;S008;L’ORDRE DU JOUR;dimanche;15h00;dimanche 15h00;CH001;2026-04-10;STVC;Théâtre du Vieux-Colombier
R291;S008;L’ORDRE DU JOUR;mardi;19h00;mardi 19h00;CH001;2026-04-11;STVC;Théâtre du Vieux-Colombier
R292;S008;L’ORDRE DU JOUR;mercredi;20h30;mercredi 20h30;CH002;2026-04-12;STVC;Théâtre du Vieux-Colombier
R293;S008;L’ORDRE DU JOUR;jeudi;20h30;jeudi 20h30;CH002;2026-04-15;STVC;Théâtre du Vieux-Colombier
R294;S008;L’ORDRE DU JOUR;vendredi;20h30;vendredi 20h30;CH003;2026-04-16;STVC;Théâtre du Vieux-Colombier
R295;S008;L’ORDRE DU JOUR;samedi;20h30;samedi 20h30;CH003;2026-04-16;STVC;Théâtre du Vieux-Colombier
R296;S008;L’ORDRE DU JOUR;dimanche;15h00;dimanche 15h00;CH001;2026-04-17;STVC;Théâtre du Vieux-Colombier
R297;S008;L’ORDRE DU JOUR;mardi;19h00;mardi 19h00;CH001;2026-04-17;STVC;Théâtre du Vieux-Colombier
R298;S008;L’ORDRE DU JOUR;mercredi;20h30;mercredi 20h30;CH002;2026-04-18;STVC;Théâtre du Vieux-Colombier
R299;S008;L’ORDRE DU JOUR;jeudi;20h30;jeudi 20h30;CH002;2026-04-19;STVC;Théâtre du Vieux-Colombier
R300;S008;L’ORDRE DU JOUR;vendredi;20h30;vendredi 20h30;CH003;2026-04-22;STVC;Théâtre du Vieux-Colombier
R301;S008;L’ORDRE DU JOUR;samedi;20h30;samedi 20h30;CH003;2026-04-23;STVC;Théâtre du Vieux-Colombier
R302;S008;L’ORDRE DU JOUR;dimanche;15h00;dimanche 15h00;CH001;2026-04-24;STVC;Théâtre du Vieux-Colombier
R303;S008;L’ORDRE DU JOUR;mardi;19h00;mardi 19h00;CH001;2026-04-24;STVC;Théâtre du Vieux-Colombier
R304;S008;L’ORDRE DU JOUR;mercredi;20h30;mercredi 20h30;CH002;2026-04-26;STVC;Théâtre du Vieux-Colombier
R305;S008;L’ORDRE DU JOUR;jeudi;20h30;jeudi 20h30;CH002;2026-04-28;STVC;Théâtre du Vieux-Colombier
R306;S008;L’ORDRE DU JOUR;samedi;20h30;samedi 20h30;CH003;2026-04-29;STVC;Théâtre du Vieux-Colombier
R307;S008;L’ORDRE DU JOUR;dimanche;15h00;dimanche 15h00;CH001;2026-04-30;STVC;Théâtre du Vieux-Colombier
R308;S009;PENTHÉSILÉE;mercredi;20h30;mercredi 20h30;CH002;2026-05-22;STVC;Théâtre du Vieux-Colombier
R309;S009;PENTHÉSILÉE;jeudi;20h30;jeudi 20h30;CH002;2026-05-24;STVC;Théâtre du Vieux-Colombier
R310;S009;PENTHÉSILÉE;vendredi;20h30;vendredi 20h30;CH003;2026-05-27;STVC;Théâtre du Vieux-Colombier
R311;S009;PENTHÉSILÉE;samedi;20h30;samedi 20h30;CH003;2026-05-28;STVC;Théâtre du Vieux-Colombier
R312;S009;PENTHÉSILÉE;dimanche;15h00;dimanche 15h00;CH001;2026-05-29;STVC;Théâtre du Vieux-Colombier
R313;S009;PENTHÉSILÉE;mardi;19h00;mardi 19h00;CH001;2026-05-29;STVC;Théâtre du Vieux-Colombier
R314;S009;PENTHÉSILÉE;mercredi;20h30;mercredi 20h30;CH002;2026-05-30;STVC;Théâtre du Vieux-Colombier
R315;S009;PENTHÉSILÉE;jeudi;20h30;jeudi 20h30;CH002;2026-06-02;STVC;Théâtre du Vieux-Colombier
R316;S009;PENTHÉSILÉE;vendredi;20h30;vendredi 20h30;CH003;2026-06-03;STVC;Théâtre du Vieux-Colombier
R317;S009;PENTHÉSILÉE;samedi;20h30;samedi 20h30;CH003;2026-06-04;STVC;Théâtre du Vieux-Colombier
R318;S009;PENTHÉSILÉE;dimanche;15h00;dimanche 15h00;CH001;2026-06-05;STVC;Théâtre du Vieux-Colombier
R319;S009;PENTHÉSILÉE;mardi;19h00;mardi 19h00;CH001;2026-06-05;STVC;Théâtre du Vieux-Colombier
R320;S009;PENTHÉSILÉE;mercredi;20h30;mercredi 20h30;CH002;2026-06-06;STVC;Théâtre du Vieux-Colombier
R321;S009;PENTHÉSILÉE;jeudi;20h30;jeudi 20h30;CH002;2026-06-09;STVC;Théâtre du Vieux-Colombier
R322;S009;PENTHÉSILÉE;vendredi;20h30;vendredi 20h30;CH003;2026-06-10;STVC;Théâtre du Vieux-Colombier
R323;S009;PENTHÉSILÉE;samedi;20h30;samedi 20h30;CH003;2026-06-11;STVC;Théâtre du Vieux-Colombier
R324;S009;PENTHÉSILÉE;dimanche;15h00;dimanche 15h00;CH001;2026-06-12;STVC;Théâtre du Vieux-Colombier
R325;S009;PENTHÉSILÉE;mardi;19h00;mardi 19h00;CH001;2026-06-12;STVC;Théâtre du Vieux-Colombier
R326;S009;PENTHÉSILÉE;mercredi;20h30;mercredi 20h30;CH002;2026-06-13;STVC;Théâtre du Vieux-Colombier
R327;S009;PENTHÉSILÉE;jeudi;20h30;jeudi 20h30;CH002;2026-06-16;STVC;Théâtre du Vieux-Colombier
R328;S009;PENTHÉSILÉE;vendredi;20h30;vendredi 20h30;CH003;2026-06-17;STVC;Théâtre du Vieux-Colombier
R329;S009;PENTHÉSILÉE;samedi;20h30;samedi 20h30;CH003;2026-06-18;STVC;Théâtre du Vieux-Colombier
R330;S009;PENTHÉSILÉE;dimanche;15h00;dimanche 15h00;CH001;2026-06-19;STVC;Théâtre du Vieux-Colombier
R331;S009;PENTHÉSILÉE;mardi;19h00;mardi 19h00;CH001;2026-06-19;STVC;Théâtre du Vieux-Colombier
R332;S009;PENTHÉSILÉE;mercredi;20h30;mercredi 20h30;CH002;2026-06-20;STVC;Théâtre du Vieux-Colombier
R333;S009;PENTHÉSILÉE;jeudi;20h30;jeudi 20h30;CH002;2026-06-23;STVC;Théâtre du Vieux-Colombier
R334;S009;PENTHÉSILÉE;vendredi;20h30;vendredi 20h30;CH003;2026-06-24;STVC;Théâtre du Vieux-Colombier
R335;S009;PENTHÉSILÉE;samedi;20h30;samedi 20h30;CH003;2026-06-25;STVC;Théâtre du Vieux-Colombier
R336;S009;PENTHÉSILÉE;dimanche;15h00;dimanche 15h00;CH001;2026-06-26;STVC;Théâtre du Vieux-Colombier
R337;S009;PENTHÉSILÉE;mardi;19h00;mardi 19h00;CH001;2026-06-26;STVC;Théâtre du Vieux-Colombier
R338;S009;PENTHÉSILÉE;mercredi;20h30;mercredi 20h30;CH002;2026-06-27;STVC;Théâtre du Vieux-Colombier
R339;S009;PENTHÉSILÉE;jeudi;20h30;jeudi 20h30;CH002;2026-06-28;STVC;Théâtre du Vieux-Colombier
R340;S009;PENTHÉSILÉE;vendredi;20h30;vendredi 20h30;CH003;2026-07-01;STVC;Théâtre du Vieux-Colombier
R341;S009;PENTHÉSILÉE;samedi;20h30;samedi 20h30;CH003;2026-07-02;STVC;Théâtre du Vieux-Colombier
R342;S009;PENTHÉSILÉE;dimanche;15h00;dimanche 15h00;CH001;2026-07-02;STVC;Théâtre du Vieux-Colombier
R343;S009;PENTHÉSILÉE;mardi;19h00;mardi 19h00;CH001;2026-07-03;STVC;Théâtre du Vieux-Colombier
R344;S009;PENTHÉSILÉE;mercredi;20h30;mercredi 20h30;CH002;2026-07-04;STVC;Théâtre du Vieux-Colombier
R345;S009;PENTHÉSILÉE;jeudi;20h30;jeudi 20h30;CH002;2026-07-04;STVC;Théâtre du Vieux-Colombier
R346;S009;PENTHÉSILÉE;vendredi;20h30;vendredi 20h30;CH003;2026-07-05;STVC;Théâtre du Vieux-Colombier
R347;S009;PENTHÉSILÉE;samedi;20h30;samedi 20h30;CH003;2026-07-08;STVC;Théâtre du Vieux-Colombier
R348;S009;PENTHÉSILÉE;dimanche;15h00;dimanche 15h00;CH001;2026-07-08;STVC;Théâtre du Vieux-Colombier
R349;S010;ÉTINCELLES;jeudi;18h30;jeudi 18h30;CH001;2025-09-18;SCST;Studio-Théâtre
R350;S010;ÉTINCELLES;vendredi;18h30;vendredi 18h30;CH001;2025-09-19;SCST;Studio-Théâtre
R351;S010;ÉTINCELLES;samedi;18h30;samedi 18h30;CH001;2025-09-20;SCST;Studio-Théâtre
R352;S010;ÉTINCELLES;dimanche;18h30;dimanche 18h30;CH001;2025-09-21;SCST;Studio-Théâtre
R353;S010;ÉTINCELLES;mercredi;18h30;mercredi 18h30;CH001;2025-09-24;SCST;Studio-Théâtre
R354;S010;ÉTINCELLES;jeudi;18h30;jeudi 18h30;CH001;2025-09-25;SCST;Studio-Théâtre
R355;S010;ÉTINCELLES;vendredi;18h30;vendredi 18h30;CH001;2025-09-26;SCST;Studio-Théâtre
R356;S010;ÉTINCELLES;samedi;18h30;samedi 18h30;CH001;2025-09-27;SCST;Studio-Théâtre
R357;S010;ÉTINCELLES;dimanche;18h30;dimanche 18h30;CH001;2025-09-28;SCST;Studio-Théâtre
R358;S010;ÉTINCELLES;mercredi;18h30;mercredi 18h30;CH001;2025-10-01;SCST;Studio-Théâtre
R359;S010;ÉTINCELLES;jeudi;18h30;jeudi 18h30;CH001;2025-10-02;SCST;Studio-Théâtre
R360;S010;ÉTINCELLES;vendredi;18h30;vendredi 18h30;CH001;2025-10-03;SCST;Studio-Théâtre
R361;S010;ÉTINCELLES;samedi;18h30;samedi 18h30;CH001;2025-10-04;SCST;Studio-Théâtre
R362;S010;ÉTINCELLES;dimanche;18h30;dimanche 18h30;CH001;2025-10-05;SCST;Studio-Théâtre
R363;S010;ÉTINCELLES;mercredi;18h30;mercredi 18h30;CH001;2025-10-08;SCST;Studio-Théâtre
R364;S010;ÉTINCELLES;jeudi;18h30;jeudi 18h30;CH001;2025-10-09;SCST;Studio-Théâtre
R365;S010;ÉTINCELLES;vendredi;18h30;vendredi 18h30;CH001;2025-10-10;SCST;Studio-Théâtre
R366;S010;ÉTINCELLES;samedi;18h30;samedi 18h30;CH001;2025-10-11;SCST;Studio-Théâtre
R367;S010;ÉTINCELLES;dimanche;18h30;dimanche 18h30;CH001;2025-10-12;SCST;Studio-Théâtre
R368;S010;ÉTINCELLES;mercredi;18h30;mercredi 18h30;CH001;2025-10-15;SCST;Studio-Théâtre
R369;S010;ÉTINCELLES;jeudi;18h30;jeudi 18h30;CH001;2025-10-16;SCST;Studio-Théâtre
R370;S010;ÉTINCELLES;vendredi;18h30;vendredi 18h30;CH001;2025-10-17;SCST;Studio-Théâtre
R371;S010;ÉTINCELLES;samedi;18h30;samedi 18h30;CH001;2025-10-18;SCST;Studio-Théâtre
R372;S010;ÉTINCELLES;dimanche;18h30;dimanche 18h30;CH001;2025-10-19;SCST;Studio-Théâtre
R373;S010;ÉTINCELLES;mercredi;18h30;mercredi 18h30;CH001;2025-10-22;SCST;Studio-Théâtre
R374;S010;ÉTINCELLES;jeudi;18h30;jeudi 18h30;CH001;2025-10-23;SCST;Studio-Théâtre
R375;S010;ÉTINCELLES;vendredi;18h30;vendredi 18h30;CH001;2025-10-24;SCST;Studio-Théâtre
R376;S010;ÉTINCELLES;samedi;18h30;samedi 18h30;CH001;2025-10-25;SCST;Studio-Théâtre
R377;S010;ÉTINCELLES;dimanche;18h30;dimanche 18h30;CH001;2025-10-26;SCST;Studio-Théâtre
R378;S010;ÉTINCELLES;mercredi;18h30;mercredi 18h30;CH001;2025-10-29;SCST;Studio-Théâtre
R379;S010;ÉTINCELLES;jeudi;18h30;jeudi 18h30;CH001;2025-10-30;SCST;Studio-Théâtre
R380;S010;ÉTINCELLES;vendredi;18h30;vendredi 18h30;CH001;2025-10-31;SCST;Studio-Théâtre
R381;S010;ÉTINCELLES;samedi;18h30;samedi 18h30;CH001;2025-11-01;SCST;Studio-Théâtre
R382;S010;ÉTINCELLES;dimanche;18h30;dimanche 18h30;CH001;2025-11-02;SCST;Studio-Théâtre
R383;S011;PINOCCHIO CRÉATURE;mercredi;18h30;mercredi 18h30;CH001;2025-11-19;SCST;Studio-Théâtre
R384;S011;PINOCCHIO CRÉATURE;jeudi;18h30;jeudi 18h30;CH001;2025-11-20;SCST;Studio-Théâtre
R385;S011;PINOCCHIO CRÉATURE;vendredi;18h30;vendredi 18h30;CH001;2025-11-21;SCST;Studio-Théâtre
R386;S011;PINOCCHIO CRÉATURE;samedi;18h30;samedi 18h30;CH001;2025-11-22;SCST;Studio-Théâtre
R387;S011;PINOCCHIO CRÉATURE;dimanche;18h30;dimanche 18h30;CH001;2025-11-23;SCST;Studio-Théâtre
R388;S011;PINOCCHIO CRÉATURE;mercredi;18h30;mercredi 18h30;CH001;2025-11-26;SCST;Studio-Théâtre
R389;S011;PINOCCHIO CRÉATURE;jeudi;18h30;jeudi 18h30;CH001;2025-11-27;SCST;Studio-Théâtre
R390;S011;PINOCCHIO CRÉATURE;vendredi;18h30;vendredi 18h30;CH001;2025-11-28;SCST;Studio-Théâtre
R391;S011;PINOCCHIO CRÉATURE;samedi;18h30;samedi 18h30;CH001;2025-11-29;SCST;Studio-Théâtre
R392;S011;PINOCCHIO CRÉATURE;dimanche;18h30;dimanche 18h30;CH001;2025-11-30;SCST;Studio-Théâtre
R393;S011;PINOCCHIO CRÉATURE;mercredi;18h30;mercredi 18h30;CH001;2025-12-03;SCST;Studio-Théâtre
R394;S011;PINOCCHIO CRÉATURE;jeudi;18h30;jeudi 18h30;CH001;2025-12-04;SCST;Studio-Théâtre
R395;S011;PINOCCHIO CRÉATURE;vendredi;18h30;vendredi 18h30;CH001;2025-12-05;SCST;Studio-Théâtre
R396;S011;PINOCCHIO CRÉATURE;samedi;18h30;samedi 18h30;CH001;2025-12-06;SCST;Studio-Théâtre
R397;S011;PINOCCHIO CRÉATURE;dimanche;18h30;dimanche 18h30;CH001;2025-12-07;SCST;Studio-Théâtre
R398;S011;PINOCCHIO CRÉATURE;mercredi;18h30;mercredi 18h30;CH001;2025-12-10;SCST;Studio-Théâtre
R399;S011;PINOCCHIO CRÉATURE;jeudi;18h30;jeudi 18h30;CH001;2025-12-11;SCST;Studio-Théâtre
R400;S011;PINOCCHIO CRÉATURE;vendredi;18h30;vendredi 18h30;CH001;2025-12-12;SCST;Studio-Théâtre
R401;S011;PINOCCHIO CRÉATURE;samedi;18h30;samedi 18h30;CH001;2025-12-13;SCST;Studio-Théâtre
R402;S011;PINOCCHIO CRÉATURE;dimanche;18h30;dimanche 18h30;CH001;2025-12-14;SCST;Studio-Théâtre
R403;S011;PINOCCHIO CRÉATURE;mercredi;18h30;mercredi 18h30;CH001;2025-12-17;SCST;Studio-Théâtre
R404;S011;PINOCCHIO CRÉATURE;jeudi;18h30;jeudi 18h30;CH001;2025-12-18;SCST;Studio-Théâtre
R405;S011;PINOCCHIO CRÉATURE;vendredi;18h30;vendredi 18h30;CH001;2025-12-19;SCST;Studio-Théâtre
R406;S011;PINOCCHIO CRÉATURE;samedi;18h30;samedi 18h30;CH001;2025-12-20;SCST;Studio-Théâtre
R407;S011;PINOCCHIO CRÉATURE;dimanche;18h30;dimanche 18h30;CH001;2025-12-21;SCST;Studio-Théâtre
R408;S011;PINOCCHIO CRÉATURE;mercredi;18h30;mercredi 18h30;CH001;2025-12-24;SCST;Studio-Théâtre
R409;S011;PINOCCHIO CRÉATURE;vendredi;18h30;vendredi 18h30;CH001;2025-12-26;SCST;Studio-Théâtre
R410;S011;PINOCCHIO CRÉATURE;samedi;18h30;samedi 18h30;CH001;2025-12-27;SCST;Studio-Théâtre
R411;S011;PINOCCHIO CRÉATURE;dimanche;18h30;dimanche 18h30;CH001;2025-12-28;SCST;Studio-Théâtre
